,Dialogue
869,"I'm not gonna bore you with now.
"
870,"I see how happy he is
"
871,"and how good you guys are together.
"
872,"And Monica's always
"
873,"saying how nice you are...
"
874,"...and God, I hate it when she's right!
"
875,"Thanks.
"
876,"Would you like to go to
"
877,"a movie sometime or something?
"
878,"Yeah, that'd be great.
"
879,"I'd love it.
"
880,"I'd love it too.
"
881,"Shoot, I gotta go.
"
882,"- So I'll talk to you later.
"
883,"- All right, Julie.
"
884,"What a manipulative bitch.
"
885,"It's not bad.
"
886,"<font color=""#ffff00"" size=14>www.tvsubtitles.net
"
887,"Subtitles downloaded from www.OpenSubtitles.org
"
888,"Hold on a second.
"
889,"Nice.
"
890,"I got you something.
"
891,"What's this?
"
892,"Eight hundred and twelve bucks.
"
893,"Didn't Big Leon tell you?
"
894,"It's a thousand...
"
895,"...to have me for the whole night.
"
896,"What's this for?
"
897,"Well, I'm making money now.
"
898,"I'm paying you back for headshots,
"
899,"electric bills, all that pizza...
"
900,"I love you, man.
"
901,"Well, thanks, man.
"
902,"Now I can get my pony.
"
903,"This is a little extra something for...
"
904,"...always being there for me.
"
905,"Wow, I don't know what to say.
"
906,"Wow, I don't know what to say.
"
907,"What do you say?
"
908,"I don't know.
"
909,"It's a bracelet.
"
910,"Isn't it? It's engraved, too.
"
911,"Check it out.
"
912,"""To my best bud.""
"
913,"Thanks, best bud.
"
914,"Put it on.
"
915,"Now?
"
916,"No, it should be saved
"
917,"for a special occasion.
"
918,"No, that's the beauty part.
"
919,"It goes with everything.
"
920,"When you put this on,
"
921,"you're good to go.
"
922,"Well, I've never been
"
923,"good to go, so...
"
924,"What the hell,
"
925,"why not try some jewelry.
"
926,"Oh, man!
"
927,"You are so wearing that bracelet!
"
928,"I so am!
"
929,"Any idea what this will
"
930,"do for your sex life?
"
931,"It might slow down at first, but...
"
932,"...once I'm used to the extra weight,
"
933,"I'll be back on track.
"
934,"The One With the Prom Video
"
935,"- This all looks good.
"
936,"- Great.
"
937,"If I want to call for a reference
"
938,"on your last job...?
"
939,"That's right there, see?
"
940,"The manager, Chandler Bing?
"
941,"All right.
"
942,"Let's see if you're as good in person
"
943,"as you are on paper. Make me a salad.
"
944,"A salad? I could do
"
945,"something more complicated.
"
946,"No, just the salad will be fine.
"
947,"You got it.
"
948,"Now I want you to tell me what
"
949,"you're doing while you're doing it.
"
950,"All right. Well,
"
951,"I'm tearing the lettuce.
"
952,"Is it dirty?
"
953,"Oh, I'm gonna wash it.
"
954,"Don't. I like it dirty.
"
955,"That's your call.
"
956,"So, what are you going to do next?
"
957,"I thought that I'd
"
958,"cut up the tomatoes.
"
959,"Are they firm?
"
960,"They're okay.
"
961,"You sure they haven't gone bad?
"
962,"You sure they're not very, very bad?
"
963,"No, really, they're okay.
"
964,"You gonna slice them up real nice?
"
965,"I was going to do them julienne.
"
966,"I'm out of here!
"
967,"Hello?
"
